human-rel,human-coh,rouge1,rouge2,rouge3,rouge4,rougeL,bleu,chrf,meteor
3.14,2.18,0.487179487179487,0.31578947368421,0.216216216216216,0.138888888888889,0.358974358974359,20.9298436240418,14.62,0.226757369614513
1.59,2.83,0.238095238095238,0.0487804878048781,0,0,0.142857142857143,1.32246376828824,18.08,0.104895104895105
3.18,1.81,0.581395348837209,0.333333333333333,0.219512195121951,0.15,0.255813953488372,20.424792310698,28.15,0.380816326530612
2.01,2.72,0.468085106382979,0.130434782608696,0.0222222222222222,0,0.25531914893617,0.522193716882118,15.5,0.0825369244135534
3.55,3.4,0.405405405405405,0.138888888888889,0.114285714285714,0.0882352941176471,0.243243243243243,1.35651996432041,24.11,0.245410408132302
2.48,3.94,0.305555555555556,0.0857142857142857,0.0294117647058823,0,0.194444444444444,5.37691138318954,22.55,0.230138888888889
3.64,3.62,0.326530612244898,0.125,0.0425531914893617,0,0.142857142857143,6.04335522090711,18.04,0.265247185511503
4.64,4.61,0.659090909090909,0.395348837209302,0.333333333333333,0.24390243902439,0.568181818181818,6.49405183500367,54.2,0.204655547760054
2.35,2.83,0.517241379310345,0.178571428571429,0.037037037037037,0,0.275862068965517,1.61685437550296,32.31,0.113865312071331
2.28,1.58,0.333333333333333,0.0526315789473684,0,0,0.230769230769231,2.21512606329806,24.27,0.14161220043573
2.83,1.84,0.694444444444444,0.485714285714286,0.294117647058823,0.151515151515152,0.444444444444444,5.46289046090082,23.86,0.263990002861216
4.59,2.59,0.470588235294118,0.14,0.0408163265306122,0,0.235294117647059,0.963796210308263,19.82,0.22986889818689
3.37,1.68,0.619047619047619,0.365853658536585,0.225,0.153846153846154,0.380952380952381,6.24672190385716,21.63,0.175246712570534
2.51,2.44,0.54,0.163265306122449,0.0833333333333333,0.0212765957446808,0.3,4.86709225347051,16.06,0.276713886043341
3.45,2.23,0.58,0.142857142857143,0.0625,0.0212765957446808,0.34,0.937705918998116,14.76,0.13801894918174
3.89,3.38,0.425,0.102564102564103,0.0263157894736842,0,0.225,6.14741468873248,28.78,0.161962504404457
3.2,2.17,0.423076923076923,0.196078431372549,0.16,0.142857142857143,0.326923076923077,14.4876073982162,27.93,0.23879232603244
4.64,3,0.4,0.113636363636364,0.0465116279069768,0.0238095238095238,0.266666666666667,7.4399915472035,34.08,0.209536817928731
3.34,2.99,0.127659574468085,0.0217391304347826,0,0,0.127659574468085,1.16207763254742,15.77,0.0982770157243225
3.83,3.08,0.477272727272727,0.255813953488372,0.166666666666667,0.0731707317073171,0.340909090909091,6.18343434165707,26.85,0.286509695290859
2.44,4.4,0.457142857142857,0.0882352941176471,0,0,0.257142857142857,1.31778676971074,28.75,0.119492915734526
2.93,2.95,0.227272727272727,0.0465116279069768,0.0238095238095238,0,0.181818181818182,0.735081250180345,9.74,0.091161801978579
1.54,2.04,0.484848484848485,0.15625,0.032258064516129,0,0.272727272727273,0.769823195510275,12.47,0.12856134406325
3.4,2.72,0.511627906976744,0.357142857142857,0.219512195121951,0.125,0.488372093023256,25.8130628303061,35.54,0.409827790973872
3.81,3.2,0.363636363636364,0.209302325581395,0.0952380952380952,0.0487804878048781,0.318181818181818,7.61113766887585,16.79,0.33898074127907
3.84,3.25,0.44,0.208333333333333,0.0869565217391304,0.0454545454545455,0.4,2.84780811663599,32.81,0.147158081705151
3.19,2.22,0.321428571428571,0.111111111111111,0.0384615384615385,0,0.25,3.27777998363162,22.99,0.0981429608880589
1.41,1.68,0.702702702702703,0.361111111111111,0.171428571428571,0.117647058823529,0.486486486486487,10.8292077232311,52.34,0.252301117685733
3.59,2.92,0.568181818181818,0.27906976744186,0.0952380952380952,0.024390243902439,0.431818181818182,7.40756808746619,19.66,0.313932774581666
3.93,3.68,0.553191489361702,0.282608695652174,0.133333333333333,0.0454545454545455,0.319148936170213,10.5807711090588,29.1,0.278341772151899
